iter	RMSE
0	0.006680478128
1	0.006649388495
2	0.006617111962
3	0.006588678735
4	0.006557827424
5	0.006526131341
6	0.006500411301
7	0.00647099762
8	0.006439786255
9	0.006410919991
10	0.006384114336
11	0.006355917054
12	0.006327069931
13	0.00630009032
14	0.006273187309
15	0.006249432244
16	0.006222529441
17	0.006196684872
18	0.006170313111
19	0.006144237466
20	0.006120137736
21	0.006096195907
22	0.006072560556
23	0.006046363007
24	0.006022602572
25	0.005996993686
26	0.005974349594
27	0.00595065386
28	0.005926973809
29	0.005905880081
30	0.005882918421
31	0.005859767105
32	0.005836390311
33	0.005815775677
34	0.005794916547
35	0.005774777598
36	0.005754123916
37	0.005733944105
38	0.005711438108
39	0.005692152814
40	0.005672819038
41	0.005652740179
42	0.005634562364
43	0.005617034124
44	0.005598414495
45	0.005581517513
46	0.005564345683
47	0.005542771575
48	0.005523494016
49	0.005503333816
50	0.005484673551
51	0.005466701069
52	0.005450450715
53	0.005431127472
54	0.005413349658
55	0.005396178296
56	0.005377631996
57	0.005358125404
58	0.005339666248
59	0.005320995385
60	0.005303667884
61	0.005289001348
62	0.005274685307
63	0.005258934879
64	0.005242693677
65	0.005224981108
66	0.005210998686
67	0.005197080674
68	0.00517942365
69	0.005165260222
70	0.005149843611
71	0.005135146554
72	0.005120133891
73	0.005108097429
74	0.005094442238
75	0.005079872622
76	0.005065773437
77	0.005049932652
78	0.005035954484
79	0.005025039034
80	0.005010486934
81	0.004996095727
82	0.00498349434
83	0.004971264169
84	0.004958966602
85	0.00494514109
86	0.004932710399
87	0.004919905949
88	0.004907866336
89	0.004896458293
90	0.004884503213
91	0.004872548186
92	0.004861587352
93	0.004849708964
94	0.004838079409
95	0.00482459065
96	0.004813771005
97	0.004801571418
98	0.004788892286
99	0.004776446045
100	0.004763722567
101	0.00475406831
102	0.004743704965
103	0.004732801773
104	0.004721143204
105	0.004710512093
106	0.004698093978
107	0.004685260939
108	0.004675138536
109	0.004665614944
110	0.004654784957
111	0.004645049807
112	0.004633984466
113	0.004624004302
114	0.004615908642
115	0.004606363098
116	0.004596935505
117	0.004586194348
118	0.004576596322
119	0.004565570299
120	0.004554063303
121	0.00454726081
122	0.004538895417
123	0.004528877969
124	0.004519559173
